ccode,country.name,year,value
780,Trinidad and Tobago,1600,0.03379181
788,Tunisia,1600,0.2745287
792,Turkey,1600,0.6316745
795,Turkmenistan,1600,0.07883564
800,Uganda,1600,0.27869
804,Ukraine,1600,0.01664969
784,United Arab Emirates,1600,1.274795
840,United States,1600,0.01835695
858,Uruguay,1600,0.007387644
860,Uzbekistan,1600,0.06392953
862,Venezuela,1600,0.6888675
704,Vietnam,1600,0.004350062
887,Yemen,1600,0.5671329
894,Zambia,1600,0.04562443
716,Zimbabwe,1600,0.09989603
4,Afghanistan,1700,0.4285986
8,Albania,1700,0.6647764
12,Algeria,1700,0.5696114
24,Angola,1700,0.09493334
28,Antigua and Barbuda,1700,0.09887996
32,Argentina,1700,0.4584118
51,Armenia,1700,0.01688301
40,Austria,1700,0.05419382
31,Azerbaijan,1700,0.03526248
44,Bahamas,1700,0.146592
48,Bahrain,1700,0.04614987
50,Bangladesh,1700,0.1371883
52,Barbados,1700,0.07304191
112,Belarus,1700,0.005429022
56,Belgium,1700,0.0004669376
84,Belize,1700,0.006282459
204,Benin,1700,0.1825135
64,Bhutan,1700,0.06527728
68,Bolivia,1700,0.2329992
70,Bosnia and Herzegovina,1700,0.02771685
72,Botswana,1700,0.932135
76,Brazil,1700,0.197464
96,Brunei,1700,0.04360278
100,Bulgaria,1700,0.0310481
854,Burkina Faso,1700,0.3544759
108,Burundi,1700,0.009919049
120,Cameroon,1700,0.09612765
124,Canada,1700,0.0009765126
132,Cape Verde,1700,0.1977154
140,Central African Republic,1700,0.2943208
148,Chad,1700,0.6597766
152,Chile,1700,0.04888925
156,China,1700,0.04204817
170,Colombia,1700,0.1475282
174,Comoros,1700,0.4984791
178,Congo,1700,0.05301276
180,"Congo, DRC",1700,0.1267816
188,Costa Rica,1700,0.001085748
384,Cote d'Ivoire,1700,0.04591139
191,Croatia,1700,0.02602662
192,Cuba,1700,0.00455196
196,Cyprus,1700,0.2582612
203,Czech Republic,1700,0.05050286
262,Djibouti,1700,5.064559
212,Dominica,1700,0.07904474
214,Dominican Republic,1700,0.06226497
218,Ecuador,1700,0.03325654
818,Egypt,1700,0.02597641
222,El Salvador,1700,0.006294851
226,Equatorial Guinea,1700,0.01999537
232,Eritrea,1700,0.2696976
246,Finland,1700,0.0004481123
250,France,1700,0.02783181
266,Gabon,1700,0.1023881
268,Georgia,1700,0.008790731
276,Germany,1700,0.06340791
288,Ghana,1700,0.1213469
300,Greece,1700,0.7941146
308,Grenada,1700,0.03835869
320,Guatemala,1700,0.02060558
324,Guinea,1700,0.0189552
624,Guinea-Bissau,1700,0.194485
328,Guyana,1700,0.04276114
332,Haiti,1700,0.1054621
340,Honduras,1700,0.00701558
348,Hungary,1700,0.006631439
356,India,1700,0.05462333
360,Indonesia,1700,0.04913532
364,Iran,1700,0.5622075
368,Iraq,1700,0.3378854
376,Israel,1700,0.7942197
380,Italy,1700,0.08247383
388,Jamaica,1700,0.4551564
392,Japan,1700,0.006324789
400,Jordan,1700,0.4839976
398,Kazakhstan,1700,0.04765602
404,Kenya,1700,0.5319825
414,Kuwait,1700,0.1466094
417,Kyrgyzstan,1700,0.07896759
418,Laos,1700,0.01379844
428,Latvia,1700,0.006605759
422,Lebanon,1700,0.2412061
426,Lesotho,1700,1.686018
430,Liberia,1700,0.09161872
434,Libya,1700,0.7387187
440,Lithuania,1700,0.006717463
450,Madagascar,1700,0.06305603
454,Malawi,1700,0.10194
458,Malaysia,1700,0.03627077
466,Mali,1700,0.1329647
470,Malta,1700,0.09978474
478,Mauritania,1700,2.870562
480,Mauritius,1700,0.07950951
484,Mexico,1700,0.2833992
498,Moldova,1700,0.01126974
496,Mongolia,1700,5.72419
504,Morocco,1700,0.1469622
508,Mozambique,1700,0.02838731
104,Myanmar,1700,0.01825329
516,Namibia,1700,0.4118028
524,Nepal,1700,0.364615
528,Netherlands,1700,0.003520592
558,Nicaragua,1700,0.003551309
562,Niger,1700,0.1625226
566,Nigeria,1700,0.002870123
408,North Korea,1700,0.007041075
578,Norway,1700,0.02828458
512,Oman,1700,0.172682
586,Pakistan,1700,0.1707476
591,Panama,1700,0.003569763
600,Paraguay,1700,0.06658546
604,Peru,1700,0.1432116
608,Philippines,1700,0.04057305
616,Poland,1700,0.006322573
620,Portugal,1700,0.1722575
634,Qatar,1700,0.6275849
642,Romania,1700,0.02179843
646,Rwanda,1700,0.1381052
678,Sao Tome and Principe,1700,0.02338801
682,Saudi Arabia,1700,0.1429017
686,Senegal,1700,0.2841394
690,Seychelles,1700,0.03818423
694,Sierra Leone,1700,0.03493529
702,Singapore,1700,0.0009073181
703,Slovakia,1700,0.06525333
705,Slovenia,1700,0.005477233
706,Somalia,1700,2.431656
710,South Africa,1700,1.375171
410,South Korea,1700,0.0089765
724,Spain,1700,0.2245843
144,Sri Lanka,1700,0.04248296
659,St. Kitts and Nevis,1700,0.1843771
662,St. Lucia,1700,0.04285149
670,St. Vincent and the Grenadines,1700,0.05843682
740,Suriname,1700,0.0384743
748,Swaziland,1700,0.6131486
756,Switzerland,1700,0.01647121
760,Syria,1700,0.3536003
762,Tajikistan,1700,0.2644807
834,Tanzania,1700,0.4361063
764,Thailand,1700,0.001087706
270,The Gambia,1700,0.2993875
768,Togo,1700,0.2297606
780,Trinidad and Tobago,1700,0.03379181
788,Tunisia,1700,0.2745287
792,Turkey,1700,0.6316745
795,Turkmenistan,1700,0.08406227
800,Uganda,1700,0.27869
804,Ukraine,1700,0.01474177
