"date","lon","lat","depth","depth_to","depth_bot","temp"
"1990-Nov",16.1,-30.6,20,230,250,16.12
"1990-Nov",16.3,-30.5,20,220,240,15.94
"1990-Nov",16.5,-30.5,20,210,230,14.92
"1990-Nov",16.7,-30.4,20,180,200,14.62
"1990-Nov",16.9,-30.4,20,150,170,14.08
"1990-Nov",17.1,-30.4,20,120,140,12.97
"1990-Nov",17.3,-30.3,20,NA,NA,10.26
"1990-Nov",17.9,-31.3,20,NA,NA,10.26
"1990-Nov",17.7,-31.4,20,100,120,12.23
"1990-Nov",17.5,-31.4,20,130,150,12.78
"1990-Nov",17.3,-31.5,20,180,200,14.17
"1990-Nov",17.1,-31.5,20,230,250,14.85
"1990-Nov",16.9,-31.6,20,260,280,14.74
"1990-Nov",16.8,-31.6,20,270,290,15.39
"1990-Nov",16.6,-31.7,20,280,300,15.51
"1990-Nov",16.4,-31.7,20,390,410,16.4
"1990-Nov",16.6,-32.3,20,340,360,16.49
"1990-Nov",16.8,-32.2,20,300,320,16.34
"1990-Nov",17,-32.2,20,250,270,16.28
"1990-Nov",17.1,-32.1,20,220,240,16.35
"1990-Nov",18.3,-32.2,20,10,10,10.2
"1990-Nov",18.2,-32.3,20,40,60,9.68
"1990-Nov",18.1,-32.3,20,70,90,10.64
"1990-Nov",17.3,-32.1,20,180,200,13.76
"1990-Nov",17.5,-32,20,130,150,12.8
"1990-Nov",17.7,-32,20,120,140,11.8
"1990-Nov",17.9,-31.9,20,100,120,13.27
"1990-Nov",18.1,-31.9,20,80,100,12.36
"1990-Nov",18.2,-31.8,20,0,20,10.22
"1990-Nov",17.9,-32.3,20,120,140,10.54
"1990-Nov",17.8,-32.4,20,130,150,11.4
"1990-Nov",17.6,-32.4,20,150,170,13.76
"1990-Nov",17.4,-32.5,20,230,250,13.76
"1990-Nov",17.2,-32.5,20,260,280,12.97
"1990-Nov",17,-32.6,20,300,320,14.78
"1990-Nov",16.8,-32.6,20,360,380,13.8
"1990-Nov",16.8,-32.9,20,500,520,16.82
"1990-Nov",17,-32.8,20,320,340,16.61
"1990-Nov",17.8,-33,20,60,80,11.6
"1990-Nov",17.7,-33.1,20,150,170,12.53
"1990-Nov",17.5,-33.1,20,320,340,16.41
